monthly mean,year,month,month,,40-year average 1967-2006,,monthly mean anomalies,5MRM Anaom-alies,,30-year average 1967-1996,35-year average 1967-2001
14.48,1996,9,Sep-96,,,,0.10,-0.26,,,
15.41,1996,10,Oct-96,,,,0.13,-0.31,,,
15.83,1996,11,Nov-96,,,,-0.80,-0.43,,,
17.39,1996,12,Dec-96,,,,-0.80,-0.63,,,
19.03,1997,1,Jan-97,,,,-0.80,-0.68,,,
19.64,1997,2,Feb-97,,,,-0.88,-0.59,,,
20.24,1997,3,Mar-97,,,,-0.13,-0.47,,,
18.81,1997,4,Apr-97,,,,-0.36,-0.33,,,
17.25,1997,5,May-97,,,,-0.16,-0.23,,,
15.51,1997,6,Jun-97,,,,-0.13,-0.31,,,
14.01,1997,7,Jul-97,,,,-0.37,-0.30,,,
13.46,1997,8,Aug-97,,,,-0.51,-0.34,,,
14.08,1997,9,Sep-97,,,,-0.30,-0.39,,,
14.88,1997,10,Oct-97,,,,-0.40,-0.36,,,
16.29,1997,11,Nov-97,,,,-0.34,-0.24,,,
17.96,1997,12,Dec-97,,,,-0.23,-0.14,,,
19.89,1998,1,Jan-98,,,,0.06,-0.07,,,
20.70,1998,2,Feb-98,,,,0.18,0.00,,,
20.34,1998,3,Mar-98,,,,-0.04,0.10,,,
19.19,1998,4,Apr-98,,,,0.02,0.22,,,
17.70,1998,5,May-98,,,,0.29,0.44,,,
16.31,1998,6,Jun-98,,,,0.66,0.59,,,
15.64,1998,7,Jul-98,,,,1.25,0.77,,,
14.70,1998,8,Aug-98,,,,0.72,0.81,,,
15.33,1998,9,Sep-98,,,,0.95,0.81,,,
15.77,1998,10,Oct-98,,,,0.48,0.69,,,
17.27,1998,11,Nov-98,,,,0.64,0.89,,,
18.83,1998,12,Dec-98,,,,0.64,0.85,,,
21.55,1999,1,Jan-99,,,,1.72,0.90,,,
21.28,1999,2,Feb-99,,,,0.77,0.98,,,
21.11,1999,3,Mar-99,,,,0.73,1.04,,,
20.22,1999,4,Apr-99,,,,1.05,0.96,,,
18.35,1999,5,May-99,,,,0.94,1.06,,,
16.96,1999,6,Jun-99,,,,1.32,1.12,,,
15.63,1999,7,Jul-99,,,,1.24,1.10,,,
15.05,1999,8,Aug-99,,,,1.07,1.17,,,
15.32,1999,9,Sep-99,,,,0.94,1.12,,,
16.54,1999,10,Oct-99,,,,1.26,0.91,,,
17.73,1999,11,Nov-99,,,,1.11,0.64,,,
18.37,1999,12,Dec-99,,,,0.18,0.40,,,
19.53,2000,1,Jan-00,,,,-0.30,0.26,,,
20.28,2000,2,Feb-00,,,,-0.23,0.17,,,
20.92,2000,3,Mar-00,,,,0.54,0.26,,,
19.84,2000,4,Apr-00,,,,0.67,0.38,,,
18.03,2000,5,May-00,,,,0.62,0.52,,,
15.93,2000,6,Jun-00,,,,0.28,0.52,,,
14.86,2000,7,Jul-00,,,,0.47,0.48,,,
14.53,2000,8,Aug-00,,,,0.55,0.34,,,
14.87,2000,9,Sep-00,,,,0.49,0.19,,,
15.17,2000,10,Oct-00,,,,-0.11,0.17,,,
16.17,2000,11,Nov-00,,,,-0.46,-0.02,,,
18.56,2000,12,Dec-00,,,,0.38,-0.14,,,
19.45,2001,1,Jan-01,,,,-0.38,-0.04,,,
20.36,2001,2,Feb-01,,,,-0.15,0.11,,,
20.79,2001,3,Mar-01,,,,0.41,0.17,,,
19.49,2001,4,Apr-01,,,,0.31,0.27,,,
18.08,2001,5,May-01,,,,0.67,0.28,,,
15.76,2001,6,Jun-01,,,,0.11,0.23,,,
14.29,2001,7,Jul-01,,,,-0.10,0.22,,,
14.12,2001,8,Aug-01,,,,0.15,0.28,,,
14.66,2001,9,Sep-01,,,,0.28,0.33,,,
16.26,2001,10,Oct-01,,,,0.98,0.50,,,
16.96,2001,11,Nov-01,,,,0.33,0.42,,,
18.97,2001,12,Dec-01,,,,0.79,0.39,,,
19.55,2002,1,Jan-02,,,,-0.29,0.21,,,
20.65,2002,2,Feb-02,,,,0.14,0.14,,,
20.46,2002,3,Mar-02,,,,0.08,0.06,,,
19.15,2002,4,Apr-02,,,,-0.02,0.17,,,
17.80,2002,5,May-02,,,,0.38,0.19,,,
15.93,2002,6,Jun-02,,,,0.28,0.18,,,
14.60,2002,7,Jul-02,,,,0.21,0.21,,,
14.03,2002,8,Aug-02,,,,0.05,0.08,,,
14.52,2002,9,Sep-02,,,,0.14,-0.18,,,
15.02,2002,10,Oct-02,,,,-0.27,-0.38,,,
15.59,2002,11,Nov-02,,,,-1.04,-0.44,,,
17.41,2002,12,Dec-02,,,,-0.78,-0.53,,,
